filepath,tokenIndex,lineNumber
./data/SARD/data_source/CWE415_Double_Free__new_delete_wchar_t_54e_omitgood.cpp_dir/point/CWE415_Double_Free__new_delete_wchar_t_54e_omitgood.final.ll,268,30
./data/SARD/data_source/CWE415_Double_Free__new_delete_wchar_t_54e_omitgood.cpp_dir/bds/CWE415_Double_Free__new_delete_wchar_t_54e_omitgood.final.ll,268,30
./data/SARD/data_source/CWE415_Double_Free__new_delete_wchar_t_54e_omitgood.cpp_dir/api/CWE415_Double_Free__new_delete_wchar_t_54e_omitgood.final.ll,268,30
./data/SARD/data_source/CWE415_Double_Free__new_delete_wchar_t_54e_omitgood.cpp_dir/arr/CWE415_Double_Free__new_delete_wchar_t_54e_omitgood.final.ll,268,30
./data/SARD/data_source/CWE415_Double_Free__new_delete_wchar_t_84_bad_omitgood.cpp_dir/point/CWE415_Double_Free__new_delete_wchar_t_84_bad_omitgood.final.ll,477,29
./data/SARD/data_source/CWE415_Double_Free__new_delete_wchar_t_84_bad_omitgood.cpp_dir/point/CWE415_Double_Free__new_delete_wchar_t_84_bad_omitgood.final.ll,527,35
./data/SARD/data_source/CWE415_Double_Free__new_delete_wchar_t_84_bad_omitgood.cpp_dir/bds/CWE415_Double_Free__new_delete_wchar_t_84_bad_omitgood.final.ll,477,29
./data/SARD/data_source/CWE415_Double_Free__new_delete_wchar_t_84_bad_omitgood.cpp_dir/bds/CWE415_Double_Free__new_delete_wchar_t_84_bad_omitgood.final.ll,527,35
./data/SARD/data_source/CWE415_Double_Free__new_delete_wchar_t_84_bad_omitgood.cpp_dir/api/CWE415_Double_Free__new_delete_wchar_t_84_bad_omitgood.final.ll,477,29
./data/SARD/data_source/CWE415_Double_Free__new_delete_wchar_t_84_bad_omitgood.cpp_dir/api/CWE415_Double_Free__new_delete_wchar_t_84_bad_omitgood.final.ll,527,35
./data/SARD/data_source/CWE415_Double_Free__new_delete_wchar_t_84_bad_omitgood.cpp_dir/arr/CWE415_Double_Free__new_delete_wchar_t_84_bad_omitgood.final.ll,477,29
./data/SARD/data_source/CWE415_Double_Free__new_delete_wchar_t_84_bad_omitgood.cpp_dir/arr/CWE415_Double_Free__new_delete_wchar_t_84_bad_omitgood.final.ll,527,35
